"DateTime","Germany, Base","Germany, Peak"
"2001-05-08 00:00:00",23.86,27.64
"2001-05-09 00:00:00",21.38,24.44
"2001-05-10 00:00:00",23.67,29.1
"2001-05-11 00:00:00",18.02,21.6
"2001-05-12 00:00:00",18.31,21.65
"2001-05-13 00:00:00",13.71,15.64
"2001-05-14 00:00:00",23.85,31.27
"2001-05-15 00:00:00",25.22,30.7
"2001-05-16 00:00:00",25.31,32.71
"2001-05-17 00:00:00",22.12,26.36
"2001-05-18 00:00:00",23.09,28.24
"2001-05-19 00:00:00",17.56,19.34
"2001-05-20 00:00:00",16.15,17.58
"2001-05-21 00:00:00",27,38.24
"2001-05-22 00:00:00",27.98,36.78
"2001-05-23 00:00:00",23.9,28.86
"2001-05-24 00:00:00",14.07,15.55
"2001-05-25 00:00:00",15.92,19.01
"2001-05-26 00:00:00",14.58,16.89
"2001-05-27 00:00:00",10.47,12.3
"2001-05-28 00:00:00",22.95,30.68
"2001-05-29 00:00:00",21.89,29.8
"2001-05-30 00:00:00",23.51,31.68
"2001-05-31 00:00:00",24.76,35.02
"2001-06-01 00:00:00",18.75,22.07
"2001-06-02 00:00:00",13.39,15.83
"2001-06-03 00:00:00",8.31,9.83
"2001-06-04 00:00:00",9.83,12.66
"2001-06-05 00:00:00",21.5,30.76
"2001-06-06 00:00:00",28.27,38.72
"2001-06-07 00:00:00",19.79,24.61
"2001-06-08 00:00:00",20.51,27.36
"2001-06-09 00:00:00",20.21,26.41
"2001-06-10 00:00:00",13.56,16.21
"2001-06-11 00:00:00",20.9,28.13
"2001-06-12 00:00:00",23.83,30.9
"2001-06-13 00:00:00",30.18,42.15
"2001-06-14 00:00:00",18.31,23.25
"2001-06-15 00:00:00",18.83,22.57
"2001-06-16 00:00:00",18.59,24.08
"2001-06-17 00:00:00",12.84,14.95
"2001-06-18 00:00:00",26.82,37.12
"2001-06-19 00:00:00",24.05,31.44
"2001-06-20 00:00:00",26.62,36.31
"2001-06-21 00:00:00",22.1,30.25
"2001-06-22 00:00:00",19.04,25.24
"2001-06-23 00:00:00",15.63,18.17
"2001-06-24 00:00:00",10.78,13.4
"2001-06-25 00:00:00",24.5,32.53
